model,split,pooled_spearman,spearman_ci_lo,spearman_ci_hi,pooled_pearson,pooled_auroc,precision_at_5pct,per_fold_spearman_mean,per_fold_spearman_sd,n,n_folds,variant,group,n_features,delta_vs_full,delta_lo,delta_hi,delta_p
FULL,position_grouped,0.2272538173271868,0.2024643012127408,0.24935920170877765,0.1928890327764641,0.6162762692862827,0.07635467980295567,0.22737478014479934,0.03350689148765879,8117,10,full,-,137,,,,
minus_subst,position_grouped,0.20090822377890724,0.17513115018795158,0.22253752947257735,0.1783133976919929,0.6040686408253033,0.07142857142857142,0.2012851101629865,0.03468364729933192,8117,10,leave_one_group_out,subst,63,-0.02634559354827956,-0.03744626858035939,-0.015915916165229364,0.0
only_subst,position_grouped,0.1525848873732175,0.13070857690108953,0.17413498509505074,0.12403996040936474,0.5727628737822393,0.027093596059113302,0.1559980620704172,0.03272810632221536,8117,10,only_one_group,subst,74,,,,
minus_codon,position_grouped,0.22641044312050457,0.20169944587860905,0.24836711194876643,0.19167287640442596,0.6161810437495925,0.07389162561576355,0.22724148297636773,0.032476789100392686,8117,10,leave_one_group_out,codon,132,-0.0008433742066822347,-0.003923370694357503,0.002374959326155314,0.56
only_codon,position_grouped,0.05822844668192973,0.0356501182177981,0.08017121869809352,0.04693816029551102,0.5262358040489765,0.03940886699507389,0.06412327896449974,0.03486298507208161,8117,10,only_one_group,codon,5,,,,
minus_position,position_grouped,0.2086662632954251,0.1851088649959592,0.231093085303384,0.18270882341558156,0.6046459740998682,0.07881773399014778,0.20914585554707954,0.03791484720847698,8117,10,leave_one_group_out,position,123,-0.01858755403176171,-0.028321959185902707,-0.008381337019060273,0.0
only_position,position_grouped,0.15685342948257394,0.12982151335917888,0.181277360376183,0.13246562071162127,0.5815325780615662,0.046798029556650245,0.1540871579311634,0.040911862999902675,8117,10,only_one_group,position,14,,,,
minus_esm_lm,position_grouped,0.22147727226226077,0.1974931185941407,0.24289550561458934,0.18866312480063968,0.6099573855857741,0.07635467980295567,0.22141226177964451,0.03773806688795306,8117,10,leave_one_group_out,esm_lm,125,-0.005776545064926031,-0.016691214465770467,0.0064717580396670025,0.316
only_esm_lm,position_grouped,0.15745739001664122,0.1327021172830428,0.1809637693389695,0.1514098111846732,0.5849006539933225,0.06403940886699508,0.1614878685364551,0.02640991425921666,8117,10,only_one_group,esm_lm,12,,,,
minus_esm_emb,position_grouped,0.23120869164523683,0.20440320001700016,0.25419145128793214,0.19845532050694828,0.6191190718081293,0.06157635467980296,0.2327735783714293,0.030795797636875823,8117,10,leave_one_group_out,esm_emb,105,0.003954874318050028,-0.009962022374178186,0.017056989842950107,0.524
only_esm_emb,position_grouped,0.15503807186340185,0.129563368526135,0.17957595861026582,0.136411396708918,0.580815366153572,0.08374384236453201,0.15363376732442455,0.05719573368416495,8117,10,only_one_group,esm_emb,32,,,,
FULL,region_blocked,0.18972810310903307,0.15051527836149814,0.21741850178462852,0.16664751202954986,0.5946213083484837,0.04926108374384237,0.164226707032677,0.05897698771550172,8117,10,full,-,137,,,,
minus_subst,region_blocked,0.1668909331635195,0.12192538519197964,0.20509502724732542,0.1532262133195783,0.5833392830321511,0.06157635467980296,0.14061999665194333,0.06523168028287606,8117,10,leave_one_group_out,subst,63,-0.022837169945513575,-0.03426103235051155,-0.006489451819562872,0.008
only_subst,region_blocked,0.13387347180050607,0.10338787687453138,0.16958940347790846,0.10499327116366249,0.5640056456570659,0.029556650246305417,0.1495534510124563,0.055905104980848115,8117,10,only_one_group,subst,74,,,,
minus_codon,region_blocked,0.19167428627868266,0.15093618108921383,0.2219432286773956,0.1682783243884268,0.5948159484955216,0.05665024630541872,0.16628728952546115,0.059018604883312814,8117,10,leave_one_group_out,codon,132,0.0019461831696495902,-0.0022211237640564654,0.006594326733357201,0.384
only_codon,region_blocked,0.01874597102165924,-0.012700665923801804,0.05540610369946794,0.021678045627840183,0.5046860859979181,0.04187192118226601,0.05567164921732243,0.05503292211652039,8117,10,only_one_group,codon,5,,,,
minus_position,region_blocked,0.17732795213944696,0.14019836092082646,0.21070614087497175,0.1604419996490936,0.5884455816868756,0.054187192118226604,0.15866715286291577,0.055872894353145436,8117,10,leave_one_group_out,position,123,-0.012400150969586105,-0.021342103445104857,-0.0027440490213223047,0.008
only_position,region_blocked,0.10698309055245526,0.03345980748621623,0.15775732467420203,0.0933253467453306,0.552067301778802,0.054187192118226604,0.04724752050612542,0.064080263359504,8117,10,only_one_group,position,14,,,,
minus_esm_lm,region_blocked,0.18434661388421233,0.14389646159553535,0.21198157149400154,0.15502930806198895,0.5897599794358981,0.06403940886699508,0.15644280214348602,0.06274492515320086,8117,10,leave_one_group_out,esm_lm,125,-0.005381489224820735,-0.012933352305140717,0.0024477027504556854,0.16
only_esm_lm,region_blocked,0.14431595296959795,0.1151068402318164,0.17129399530091355,0.14427097336829817,0.575526144615808,0.07635467980295567,0.13396836410953428,0.051190425624903856,8117,10,only_one_group,esm_lm,12,,,,
minus_esm_emb,region_blocked,0.21403753961022556,0.1796129318349914,0.23731832557164906,0.18727804705941745,0.6095206291235815,0.06896551724137931,0.1864068502469142,0.05380047922547496,8117,10,leave_one_group_out,esm_emb,105,0.024309436501192494,0.01457052178102189,0.03373618750553684,0.0
only_esm_emb,region_blocked,0.12417133880174967,0.08454164558329325,0.1543899508775269,0.10675920520897599,0.5628565645394794,0.054187192118226604,0.10072245714461647,0.053062680996836684,8117,10,only_one_group,esm_emb,32,,,,
