model,split,pooled_spearman,spearman_ci_lo,spearman_ci_hi,pooled_pearson,pooled_auroc,precision_at_5pct,per_fold_spearman_mean,per_fold_spearman_sd,n,n_folds,claim
global_mean,random,-0.02761180714573405,-0.04764133919938476,-0.00585305591448981,-0.028978928939636214,0.4883089936011597,0.034482758620689655,0.0,0.0,8117,10,new substitution at an already-measured position (interpolation)
blosum62,random,0.11229213952061523,0.09042683481183546,0.13697953132658897,0.08814880773485613,0.5534610794380717,0.046798029556650245,0.11305920161549218,0.026236345386190282,8117,10,new substitution at an already-measured position (interpolation)
domain_mean,random,0.15263956504800277,0.12759905400086297,0.17680710218425488,0.13791467979230312,0.5770431660363021,0.054187192118226604,0.16473004286998,0.03149517855522725,8117,10,new substitution at an already-measured position (interpolation)
position_mean,random,0.1655762950795879,0.13620586371168084,0.19309680504153073,0.13150489404191903,0.585508008962432,0.09113300492610837,0.16667432003406094,0.02005447173105791,8117,10,new substitution at an already-measured position (interpolation)
codon_only_hgb,random,0.0633939527210716,0.03987729079032832,0.08525134677947263,0.05132592196977982,0.5264447113309343,0.03940886699507389,0.06783250327505332,0.03697334545825087,8117,10,new substitution at an already-measured position (interpolation)
ridge_handcrafted,random,0.20140714774925256,0.17763997147440394,0.22515286045208685,0.17470115580527584,0.5987435389609955,0.05665024630541872,0.20192617509272184,0.019782266597765878,8117,10,new substitution at an already-measured position (interpolation)
hgb_handcrafted,random,0.22259938353781022,0.19837991593993431,0.24178060666208895,0.19143642919892362,0.610759502124346,0.059113300492610835,0.22291099501706949,0.025217322621785256,8117,10,new substitution at an already-measured position (interpolation)
esm650M_wtmarg_zeroshot,random,0.17901492227870364,0.1526425750734053,0.2010885846037173,0.1614644157509059,0.5929895123808983,0.07389162561576355,0.17833192316694174,0.022821551510734287,8117,10,new substitution at an already-measured position (interpolation)
esm650M_maskmarg_zeroshot,random,0.18042966310726524,0.1525724813608309,0.2015911711390645,0.16662381549411373,0.5940556316267047,0.07142857142857142,0.1799712215672608,0.0237543573355397,8117,10,new substitution at an already-measured position (interpolation)
ridge_esm_lm,random,0.17966911347322992,0.15283306980177672,0.20242340623385505,0.17018939559165358,0.5915921224044894,0.059113300492610835,0.18128617570824762,0.01998375095685986,8117,10,new substitution at an already-measured position (interpolation)
hgb_full_extension,random,0.25690568188423096,0.23487995647707455,0.27986198917940763,0.21763339936054663,0.6276364602886138,0.06403940886699508,0.25818995315492,0.019372162128554592,8117,10,new substitution at an already-measured position (interpolation)
ridge_full_extension,random,0.22976268236012024,0.20393430944131727,0.25282104268510003,0.20331997822368414,0.6163257185688036,0.0665024630541872,0.23138390642782602,0.02147744856628206,8117,10,new substitution at an already-measured position (interpolation)
global_mean,position_grouped,-0.03365692577449831,-0.06119615376115669,-0.008418965522715026,-0.048916246471716655,0.48692395835647945,0.04926108374384237,0.0,0.0,8117,10,new substitution at a position with no measurements
blosum62,position_grouped,0.11229213952061523,0.09042683481183546,0.13697953132658897,0.08814880773485613,0.5534610794380717,0.046798029556650245,0.11208135071289589,0.03783069981322029,8117,10,new substitution at a position with no measurements
domain_mean,position_grouped,0.14882839962858316,0.12355161495817725,0.1737939987066476,0.13306499726724283,0.574423052241634,0.05172413793103448,0.16414303270553668,0.03612235101860839,8117,10,new substitution at a position with no measurements
position_mean,position_grouped,0.14882839962858316,0.12355161495817725,0.1737939987066476,0.13306499726724283,0.574423052241634,0.05172413793103448,0.16414303270553668,0.03612235101860839,8117,10,new substitution at a position with no measurements
codon_only_hgb,position_grouped,0.05822844668192973,0.0356501182177981,0.08017121869809352,0.04693816029551102,0.5262358040489765,0.03940886699507389,0.06412327896449974,0.03486298507208161,8117,10,new substitution at a position with no measurements
ridge_handcrafted,position_grouped,0.19585135703010503,0.1728272042550913,0.21966069503927604,0.16922802718319774,0.5960584641690316,0.05665024630541872,0.19765089099325076,0.044782031958058174,8117,10,new substitution at a position with no measurements
hgb_handcrafted,position_grouped,0.21858054033444238,0.19526359219898737,0.23975686794294243,0.1887265691017624,0.6087581266511173,0.0665024630541872,0.2189168202804761,0.03266285255279136,8117,10,new substitution at a position with no measurements
esm650M_wtmarg_zeroshot,position_grouped,0.17901492227870364,0.1526425750734053,0.2010885846037173,0.1614644157509059,0.5929895123808983,0.07389162561576355,0.18128359343671194,0.025791153010064707,8117,10,new substitution at a position with no measurements
esm650M_maskmarg_zeroshot,position_grouped,0.18042966310726524,0.1525724813608309,0.2015911711390645,0.16662381549411373,0.5940556316267047,0.07142857142857142,0.18275287445866378,0.026465066070342824,8117,10,new substitution at a position with no measurements
ridge_esm_lm,position_grouped,0.17733025324647897,0.1503091364247322,0.20045094363884688,0.16706328219831354,0.5905608513946154,0.05172413793103448,0.18233448616523062,0.02612169804736796,8117,10,new substitution at a position with no measurements
hgb_full_extension,position_grouped,0.2272538173271868,0.2024643012127408,0.24935920170877765,0.1928890327764641,0.6162762692862827,0.07635467980295567,0.22737478014479934,0.03350689148765879,8117,10,new substitution at a position with no measurements
ridge_full_extension,position_grouped,0.22545327014656388,0.19990191399935578,0.24894259056016246,0.19919609938885166,0.6145255400535545,0.05665024630541872,0.2269625388975042,0.03662856511429303,8117,10,new substitution at a position with no measurements
global_mean,region_blocked,-0.14459439341777092,-0.1769700004796126,-0.08085589824517402,-0.12477812954703085,0.4302035671237129,0.05665024630541872,0.0,0.0,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
blosum62,region_blocked,0.11229213952061523,0.07662828013929601,0.14492716354690635,0.08814880773485613,0.5534610794380717,0.046798029556650245,0.11346175525516636,0.06069544858251776,8117,10,new substitution in a contiguous unmeasured region (~137 aa)
