split,model,reference,delta,lo,hi,p_two_sided
random,hgb_full_extension,domain_mean,0.10426611683622819,0.0803809747812664,0.13020866848752446,0.0
random,hgb_full_extension,blosum62,0.14461354236361573,0.11664842743449713,0.17299582589091847,0.0
random,hgb_full_extension,hgb_handcrafted,0.03430629834642074,0.01684378602809818,0.0508031911465755,0.0
random,hgb_full_extension,codon_only_hgb,0.19351172916315937,0.16384793607434614,0.2199244715480434,0.0
random,hgb_handcrafted,domain_mean,0.06995981848980745,0.04746662625344735,0.0924904577160498,0.0
random,hgb_handcrafted,blosum62,0.110307244017195,0.08450404290490292,0.13731132694766188,0.0
random,hgb_handcrafted,codon_only_hgb,0.15920543081673863,0.13367063912354216,0.1863017828367005,0.0
random,esm650M_maskmarg_zeroshot,domain_mean,0.02779009805926247,-0.0038353508486110863,0.05861215870324581,0.104
random,esm650M_maskmarg_zeroshot,blosum62,0.06813752358665001,0.0376476902644934,0.09505917054948768,0.0
random,esm650M_maskmarg_zeroshot,hgb_handcrafted,-0.04216972043054498,-0.06956196165345382,-0.017253879675765353,0.0
random,esm650M_maskmarg_zeroshot,codon_only_hgb,0.11703571038619365,0.08277680960120783,0.1459409026714182,0.0
random,ridge_full_extension,domain_mean,0.07712311731211746,0.05493299350083328,0.09951315230862001,0.0
random,ridge_full_extension,blosum62,0.117470542839505,0.09121777090630409,0.14403107166883428,0.0
random,ridge_full_extension,hgb_handcrafted,0.00716329882231001,-0.011205883823893146,0.024055741834332615,0.4
random,ridge_full_extension,codon_only_hgb,0.16636872963904864,0.13424953075285379,0.19460364138542602,0.0
position_grouped,hgb_full_extension,domain_mean,0.07842541769860364,0.0536590415309004,0.10186198995332926,0.0
position_grouped,hgb_full_extension,blosum62,0.11496167780657157,0.08672544901012065,0.14084163939789576,0.0
position_grouped,hgb_full_extension,hgb_handcrafted,0.008673276992744422,-0.008923892354686073,0.024431226075939835,0.368
position_grouped,hgb_full_extension,codon_only_hgb,0.16902537064525708,0.13883057404568588,0.19529216690216192,0.0
position_grouped,hgb_handcrafted,domain_mean,0.06975214070585922,0.047819688811809515,0.09220276250631126,0.0
position_grouped,hgb_handcrafted,blosum62,0.10628840081382715,0.08021568210299539,0.1339477066335306,0.0
position_grouped,hgb_handcrafted,codon_only_hgb,0.16035209365251266,0.1345134836328479,0.18716644312354286,0.0
position_grouped,esm650M_maskmarg_zeroshot,domain_mean,0.031601263478682085,-7.086207314891999e-06,0.06104229562661802,0.052
position_grouped,esm650M_maskmarg_zeroshot,blosum62,0.06813752358665001,0.0376476902644934,0.09505917054948768,0.0
position_grouped,esm650M_maskmarg_zeroshot,hgb_handcrafted,-0.03815087722717714,-0.06476468260131471,-0.010034353096732295,0.008
position_grouped,esm650M_maskmarg_zeroshot,codon_only_hgb,0.12220121642533552,0.08884921527188729,0.15014424437213944,0.0
position_grouped,ridge_full_extension,domain_mean,0.07662487051798073,0.05485633039499171,0.0999070860635639,0.0
position_grouped,ridge_full_extension,blosum62,0.11316113062594865,0.08599762666054019,0.14066843681108243,0.0
position_grouped,ridge_full_extension,hgb_handcrafted,0.006872729812121503,-0.01096077583915516,0.02389222349754797,0.484
position_grouped,ridge_full_extension,codon_only_hgb,0.16722482346463416,0.13662843975629924,0.19524610286615204,0.0
region_blocked,hgb_full_extension,domain_mean,0.09142901411355839,0.047969020000510315,0.15877225063289174,0.0
region_blocked,hgb_full_extension,blosum62,0.07743596358841784,0.050093231483514085,0.10120877096221098,0.0
region_blocked,hgb_full_extension,hgb_handcrafted,0.0008811826755322216,-0.013547774608591301,0.018291037755500894,0.816
region_blocked,hgb_full_extension,codon_only_hgb,0.17098213208737384,0.11899711247403297,0.20309000490467888,0.0
region_blocked,hgb_handcrafted,domain_mean,0.09054783143802617,0.050108453322421025,0.15132903544015508,0.0
region_blocked,hgb_handcrafted,blosum62,0.07655478091288562,0.04314082165735785,0.10692048357595456,0.0
region_blocked,hgb_handcrafted,codon_only_hgb,0.17010094941184162,0.1249403492839259,0.20412831197530723,0.0
region_blocked,esm650M_maskmarg_zeroshot,domain_mean,0.08213057411179056,0.02156973235876135,0.16243367215427473,0.016
region_blocked,esm650M_maskmarg_zeroshot,blosum62,0.06813752358665001,0.0347631833366524,0.09559607827107722,0.0
region_blocked,esm650M_maskmarg_zeroshot,hgb_handcrafted,-0.008417257326235605,-0.0417129769479937,0.022974329042349168,0.676
region_blocked,esm650M_maskmarg_zeroshot,codon_only_hgb,0.161683692085606,0.11400276024833736,0.19417001409225607,0.0
region_blocked,ridge_full_extension,domain_mean,0.10428499636301858,0.05716692277770862,0.17592330712530208,0.0
region_blocked,ridge_full_extension,blosum62,0.09029194583787803,0.0648580989239958,0.11414529464667757,0.0
region_blocked,ridge_full_extension,hgb_handcrafted,0.013737164924992412,-0.004933263109688695,0.03899445360581136,0.148
region_blocked,ridge_full_extension,codon_only_hgb,0.18383811433683403,0.13135233982601546,0.21507641152952164,0.0
domain_holdout,hgb_full_extension,domain_mean,0.3457666586828746,0.24160200636237925,0.4005620384355513,0.0
domain_holdout,hgb_full_extension,blosum62,0.083493539847186,0.05579435501750273,0.11311454309037416,0.0
domain_holdout,hgb_full_extension,hgb_handcrafted,0.004293037267341926,-0.032458912072112996,0.03287388437375877,0.912
domain_holdout,hgb_full_extension,codon_only_hgb,0.17810434508170567,0.11941881865024195,0.22649578134994733,0.0
domain_holdout,hgb_handcrafted,domain_mean,0.34147362141553267,0.23232903615533548,0.4234018073936956,0.0
domain_holdout,hgb_handcrafted,blosum62,0.07920050257984407,0.03875826513523064,0.12946941190063577,0.0
domain_holdout,hgb_handcrafted,codon_only_hgb,0.17381130781436374,0.1134639178620007,0.23383660168390002,0.0
domain_holdout,esm650M_maskmarg_zeroshot,domain_mean,0.33041064242233864,0.23751220201511625,0.3853332755669679,0.0
domain_holdout,esm650M_maskmarg_zeroshot,blosum62,0.06813752358665001,0.03601534920947064,0.10792321013578482,0.0
domain_holdout,esm650M_maskmarg_zeroshot,hgb_handcrafted,-0.011062978993194056,-0.06377459092311824,0.03405453162736411,0.604
domain_holdout,esm650M_maskmarg_zeroshot,codon_only_hgb,0.16274832882116969,0.10489512662483853,0.21437016371028528,0.0
domain_holdout,ridge_full_extension,domain_mean,0.34347840205370206,0.24616498302534953,0.4028216584667515,0.0
domain_holdout,ridge_full_extension,blosum62,0.08120528321801343,0.05678376254369382,0.11433250200954828,0.0
domain_holdout,ridge_full_extension,hgb_handcrafted,0.0020047806381693623,-0.03905222400667736,0.03280395291428551,0.916
domain_holdout,ridge_full_extension,codon_only_hgb,0.1758160884525331,0.12149932947376864,0.2263913368423123,0.0
