test,model,spearman,pearson,precision_at_5pct,auroc,n,delta_vs_esm2,delta_lo,delta_hi,delta_p
zero_shot,esm2_650M_wtmarg,0.17901492227870364,0.1614644157509059,0.07389162561576355,0.5929895123808983,8117,,,,
zero_shot,esm2_650M_maskmarg,0.18042966310726524,0.16662381549411373,0.07142857142857142,0.5940556316267047,8117,,,,
zero_shot,esm2_150M_wtmarg,0.14970497085288215,0.15156099154670158,0.06403940886699508,0.576099228105503,8117,,,,
zero_shot,esm2_150M_maskmarg,0.15362266999862362,0.15859916838131102,0.06896551724137931,0.5772882572008659,8117,,,,
zero_shot,esm1v_650M_wtmarg_windowed,0.07281983943366645,0.09162668612182802,0.06157635467980296,0.5352717269947913,8117,,,,
redundancy,esm2_650M_vs_esm2_150M_maskmarg,0.7058419512380621,0.7753732204437256,,,8117,,,,
redundancy,esm2_650M_vs_esm1v_650M_wtmarg_windowed,0.35779105378479037,0.393973708152771,,,8117,,,,
zero_shot,ensemble_mean_of_3,0.178841369295561,0.17193445284445555,0.07635467980295567,0.5918948892208578,8117,,,,
supervised_add,position_grouped__esm2_650M_only,0.2272538173271868,0.1928890327764641,0.07635467980295567,,8117,,,,
supervised_add,position_grouped__three_plms,0.23005597540023406,0.1973216285812606,0.07881773399014778,,8117,0.0028021580730472617,-0.0037276555697617563,0.011584672377784787,0.432
supervised_add,region_blocked__esm2_650M_only,0.18972810310903307,0.16664751202954986,0.04926108374384237,,8117,,,,
supervised_add,region_blocked__three_plms,0.18779217802764203,0.17102345738505706,0.05665024630541872,,8117,-0.0019359250813910378,-0.012822302680471954,0.008495380944191184,0.756
