feature,spearman_vs_position_mean,n
contact_n12,-0.21558131601704422,1306
contact_n8,-0.19645071119004562,1306
contact_n12_w11,-0.12940588557971003,1360
contact_n8_w11,-0.11410880134748451,1360
contact_n12_w25,-0.10515247481674084,1368
contact_n8_w25,-0.08118275787627266,1368
has_coords,-0.03452780211959078,1368
dsasa_na_w25,-0.01231366805679914,1368
is_na_interface_w25,-0.008418502475394576,1368
min_dist_na,-0.002607351451396372,1306
dist_pam_w25,0.0028832080619092854,1368
dist_pam_w11,0.004818662919717766,1360
is_na_interface_w11,0.005900798203868807,1360
min_dist_na_w11,0.007623765380241562,1360
dsasa_na_w11,0.01039438960309135,1360
dist_pam,0.011091289865588362,1306
min_dist_na_w25,0.01725002698364197,1368
is_na_interface,0.039404050985910447,1306
dsasa_na,0.043116786846942,1306
dist_hnh_w25,0.09613935435947966,1368
dist_hnh_w11,0.10676120480550584,1360
bfactor_w25,0.10843621260390297,1368
dist_centroid_w11,0.10938963145048006,1360
bfactor_w11,0.11695346015064696,1360
dist_centroid_w25,0.12176676686546294,1368
dist_hnh,0.12249153446782976,1306
dist_centroid,0.12362379000847855,1306
sasa_protein_w25,0.12784929996244945,1368
rsa_w25,0.136299296393595,1368
sasa_protein_w11,0.13971287947135094,1360
dist_ruvc_w25,0.144961988465696,1368
rsa_w11,0.15032030279692357,1360
dist_ruvc_w11,0.15313072312049325,1360
bfactor,0.15442380808698392,1306
dist_ruvc,0.16771444348209075,1306
sasa_protein,0.23604045294483958,1306
rsa,0.24582712842822435,1306
